‼   203c   double_exclamation_m…  ⁉   2049   exclamation_question…  ™    2122   trade_mark_sign        ℹ    2139   information_source   
🔓   1f513  open_lock              🔔   1f514  bell                   🔕    1f515  bell_with_cancellati…  🔖    1f516  bookmark             
🔗   1f517  link_symbol            🔘   1f518  radio_button           🔙    1f519  back_with_leftwards_…  🔚    1f51a  end_with_leftwards_a…
🔛   1f51b  on_with_exclamation_…  🔜   1f51c  soon_with_rightwards…  🔝    1f51d  top_with_upwards_arr…  🔞    1f51e  no_one_under_eightee…
🔟   1f51f  keycap_ten             🔠   1f520  input_symbol_for_lat…  🔡    1f521  input_symbol_for_lat…  🔢    1f522  input_symbol_for_num…
🔣   1f523  input_symbol_for_sym…  🔤   1f524  input_symbol_for_lat…  🔥    1f525  fire                   🔦    1f526  electric_torch       
🔧   1f527  wrench                 🔨   1f528  hammer                 🔩    1f529  nut_and_bolt           🔪    1f52a  hocho                
🔫   1f52b  pistol                 🔬   1f52c  microscope             🔭    1f52d  telescope              🔮    1f52e  crystal_ball         
🔯   1f52f  six_pointed_star_wit…  🔰   1f530  japanese_symbol_for_…  🔱    1f531  trident_emblem         🔲    1f532  black_square_button  
🔳   1f533  white_square_button    🔴   1f534  large_red_circle       🔵    1f535  large_blue_circle      🔶    1f536  large_orange_diamond 
🔷   1f537  large_blue_diamond     🔸   1f538  small_orange_diamond   🔹    1f539  small_blue_diamond     🔺    1f53a  up-pointing_red_tria…
🔻   1f53b  down-pointing_red_tr…  🔼   1f53c  up-pointing_small_re…  🔽    1f53d  down-pointing_small_…  🕉    1f549  om_symbol            
🕊   1f54a  dove_of_peace          🕋   1f54b  u1f54b                 🕌    1f54c  u1f54c                 🕍    1f54d  u1f54d               
🕎   1f54e  u1f54e                 🕐   1f550  clock_face_one_ocloc…  🕑    1f551  clock_face_two_ocloc…  🕒    1f552  clock_face_three_ocl…
🕓   1f553  clock_face_four_oclo…  🕔   1f554  clock_face_five_oclo…  🕕    1f555  clock_face_six_ocloc…  🕖    1f556  clock_face_seven_ocl…
🕗   1f557  clock_face_eight_ocl…  🕘   1f558  clock_face_nine_oclo…  🕙    1f559  clock_face_ten_ocloc…  🕚    1f55a  clock_face_eleven_oc…
🕛   1f55b  clock_face_twelve_oc…  🕜   1f55c  clock_face_one-thirt…  🕝    1f55d  clock_face_two-thirt…  🕞    1f55e  clock_face_three-thi…
🕟   1f55f  clock_face_four-thir…  🕠   1f560  clock_face_five-thir…  🕡    1f561  clock_face_six-thirt…  🕢    1f562  clock_face_seven-thi…
🕣   1f563  clock_face_eight-thi…  🕤   1f564  clock_face_nine-thir…  🕥    1f565  clock_face_ten-thirt…  🕦    1f566  clock_face_eleven-th…
🕧   1f567  clock_face_twelve-th…  🕯   1f56f  candle                 🕰    1f570  mantelpiece_clock      🕳    1f573  hole                 
🕴   1f574  man_in_business_suit…  🕵   1f575  sleuth_or_spy          🕶    1f576  dark_sunglasses        🕷    1f577  spider               
🕸   1f578  spider_web             🕹   1f579  joystick               🕺    1f57a  u1f57a                 🖇    1f587  linked_paperclips    
🖊   1f58a  lower_left_ballpoint…  🖋   1f58b  lower_left_fountain_…  🖌    1f58c  lower_left_paintbrus…  🖍    1f58d  lower_left_crayon    
🖐   1f590  raised_hand_with_fin…  🖕   1f595  reversed_hand_with_m…  🖖    1f596  raised_hand_with_par…  🖤    1f5a4  u1f5a4               
🖥   1f5a5  desktop_computer       🖨   1f5a8  printer                🖱    1f5b1  three_button_mouse     🖲    1f5b2  trackball            
🖼   1f5bc  frame_with_picture     🗂   1f5c2  card_index_dividers    🗃    1f5c3  card_file_box          🗄    1f5c4  file_cabinet         
🗑   1f5d1  wastebasket            🗒   1f5d2  spiral_note_pad        🗓    1f5d3  spiral_calendar_pad    🗜    1f5dc  compression          
🗝   1f5dd  old_key                🗞   1f5de  rolled-up_newspaper    🗡    1f5e1  dagger_knife           🗣    1f5e3  speaking_head_in_sil…
🗨   1f5e8  left_speech_bubble     🗯   1f5ef  right_anger_bubble     🗳    1f5f3  ballot_box_with_ball…  🗺    1f5fa  world_map            
